ID,Char,Day,Message_Text,Option_A,Reaction_A,Anx_A,Lethal_A,Option_B,Reaction_B,Anx_B,Lethal_B,Next_ID,Type,Condition,Msg_Status
bf_2_3,Boyfriend,2,I'm starving. I didn't eat anything yesterday with everything that happened. What should I eat?,Avoid anything grain-related. Just to be safe.,Okay... I guess I can eat the ice cream from the back of the freezer,20,FALSE,"As long as it's not ""Golden Harvest"" products, you're good.","Good, I have this pasta from another brand",-20,FALSE,bf_2_4,,,
bf_2_4,Boyfriend,2,Someone is banging on the front door asking for help. It sounds like a woman.,Just wait a sec. Maybe someone else will help?,Yeah... someone next door just let her in. She'll be safe there.,-10,FALSE,Do not open it. We can't trust anyone right now.,"She sounds hurt though. But I know, I can't risk it.",30,FALSE,NULL,,,
bestie_2_1,Bestie,2,I slept in the library. The university is on lockdown and I couldn't get out. My neck hurts,Are you alone there?,"No, there are some other students here. Some of them look weird",0,FALSE,Can you sneak out?,I'm scared to move. The floor is squeaky.,10,FALSE,bestie_2_2,,,
bestie_2_2,Bestie,2,I see Rebbeca from Data Structures! She looks okay!,No! You can't trust anyone! Get out of there!,"Okay, fine, I'm going. I don't know where. I don't know what to do.",30,FALSE,Go to her!,I'm with her now. It feels so good not to be alone anymore.,-10,FALSE,bestie_2_3,,,
bestie_2_3,Bestie,2,"I'm so thirsty. There's a water fountain nearby, but some of the ""Frozen"" are there.",Crawl. Go slow.,Okay. I'm under the desks. I'm shaking.,10,FALSE,Don't risk it. Stay hidden.,I feel dizzy. I need water.,30,FALSE,bestie_2_4,,,
bestie_2_4,Bestie,2,"I hear someone running, it's coming closer! What do I do??","Hide! Now! There's no way out, so you've got to hide!",I'm in the supply closet. I think I hear footsteps. I love you.,40,TRUE,Go outside! Some students got out of the university! Find a way out!,I'm going for it. I love you. Stay safe.,40,FALSE,NULL,,,
mom_3_1,Mom,3,Mrs. Gable's house is on fire... I think it's getting closer!,What?? You have to get out!,Dad is still locked in the bedroom! I can't leave him!,30,FALSE,"The fire won't get to the house, just close the windows!","No, I have to get out, but what about your Dad??",10,FALSE,mom_3_2,,,
mom_3_2,Mom,3,I'm standing at his door. It's silent inside. Maybe he passed out?,"Okay, okay, listen to me. Unlock the door, and run. Don't check on him, just RUN",Okay. I'm doing it.,10,FALSE,"Mom, please, please listen to me. You have to leave right now.",I can't just let him die!,40,FALSE,mom_3_3,,,
mom_3_3,Mom,3,I opened it and ran. I don't know if he's okay. I just... I just ran.,Don't stop running! Don't stop!,I don't know where to go!,30,FALSE,Okay Mom. That's okay. You're gonna be okay.,I'm so sorry.,-10,FALSE,mom_3_4,,,
mom_3_4,Mom,3,What do I do? Where do I go?,"Get to the stadium, it's supposed to be safe there","Okay, I'm on my way there. I'm going to make it. I love you.",-10,TRUE,"Mom, you have to trust me. Go to the sewer. There's a way out.",Okay. The sewer. I'm going to make it. I love you.,10,FALSE,NULL,,,
bf_3_1,Boyfriend,3,The neighbor's apartment... I hear glass breaking. Screaming.,Make sure the deadbolt is locked,Someone is in the hallway. I hear footsteps,10,FALSE,"Barricade the door, the lock won't stop them!",I pushed the fridge. I'm so hungry. I don't feel so good,20,FALSE,bf_3_2,,,
bf_3_2,Boyfriend,3,I have nothing left to eat. I found a bag of rice at the back of the cupboard... It's unmarked.,"Just drink more water, okay? Please don't touch the rice. Promise me.",Okay... Okay. You're right.,-10,FALSE,DO NOT EAT IT! Hold on just a little bit longer!,I'll die anyway! I won't be able to fight them off!,30,FALSE,bf_3_3,,,
bf_3_3,Boyfriend,3,"My battery is about to run out. Remember I love you, okay?",I love you too. We'll be okay.,"Yeah, we will.",-20,FALSE,Don't say stuff like that!! It sounds like goodbye!,"I'm sorry, I'm sorry. I'm so scared. ",0,FALSE,bf_3_4,,,
bf_3_4,Boyfriend,3,I can't stay here. I hear them lurking upstairs. I... I have a plan. I'll go through the sewer system.,"What?? No, that's crazy! Just hold on. Help will come. It's too dangerous down there.",okay u right .just a crazy idea. 1%. talk to u later,-20,TRUE,Go now. Before they find you there,going. love u. 1%. talk to u later,10,FALSE,NULL,,,
bestie_3_1,Bestie,3,I made it out... alone. I slept in a dumpster... It smells like garbage but I'm alive.,Won't be the first time I find you in a dumpster lol,"Haha, very funny!",-20,FALSE,Stay low. Wait for nightfall.,I can't just wait here,10,FALSE,bestie_3_2,,,
bestie_3_2,Bestie,3,"I see a bus! It says ""Rescue Team"". Soldiers are waving people in!","Omg, finally!",I'm going to head over there. I can't believe this is over.,-30,FALSE,"Wait, just watch for a sec before you go... Just to be sure.",Okay... I'm waiting in the alley.,20,FALSE,bestie_3_3,,,
bestie_3_3,Bestie,3,The soldiers aren't checking for ID. They are scanning eyes with a flashlight.,They are checking to see if you're sick,"Yeah, of course. I didn't think",-20,FALSE,What happens if you fail?,I don't know... I'm still watching.,0,FALSE,bestie_3_4,,,
bestie_3_4,Bestie,3,"I hear screaming... It's getting closer. I have to decide, what do I do?",Go to the bus! Before they leave!,"Okay, I'm running. Talk to you soon.",-20,TRUE,I think you should run. You can't trust them. You can't trust anyone.,"But... I just want this to end. Please, make it end. I'm heading north. I'll talk to you soon.",20,FALSE,NULL,,,
mom_day2_ghost,Mom,2,,Mom? Is everything okay?,,0,FALSE,"Hi, how did you guys sleep? How's Dad?",,0,FALSE,NULL,player_start,lethal_day_1,failed
bestie_day3_ghost,Bestie,3,,"Hi, are you still hiding? How are you?",,0,FALSE,Please tell me you're okay. please.,,0,FALSE,NULL,player_start,lethal_day_2,failed
